sn,name,price
1,Banana,43.00
2,Banana,45.00
3,Banana,45.00
4,Banana,45.00
5,Banana,45.00
6,Banana,45.00
7,Banana,43.00
8,Banana,45.00
9,Banana,45.00
10,Banana,45.00
11,Banana,45.00
12,Banana,45.00
13,Banana,45.00
14,Banana,48.00
15,Banana,45.00
16,Banana,45.00
17,Banana,45.00
18,Banana,45.00
19,Banana,45.00
20,Banana,45.00
21,Banana,53.00
22,Banana,45.00
23,Banana,45.00
24,Banana,45.00
25,Banana,45.00
26,Banana,45.00
27,Banana,45.00
28,Banana,45.00
29,Banana,45.00
30,Banana,75.00
31,Banana,45.00
32,Banana,45.00
33,Banana,45.00
34,Banana,45.00
35,Banana,45.00
36,Banana,45.00
37,Banana,45.00
38,Banana,45.00
39,Banana,45.00
40,Banana,45.00
41,Banana,45.00
42,Banana,45.00
43,Banana,55.00
44,Banana,45.00
45,Banana,45.00
46,Banana,53.00
47,Banana,48.00
48,Banana,48.00
49,Banana,48.00
50,Banana,58.00
51,Banana,48.00
52,Banana,48.00
53,Banana,48.00
54,Banana,48.00
55,Banana,48.00
56,Banana,48.00
57,Banana,48.00
58,Banana,48.00
59,Banana,48.00
60,Banana,48.00
61,Banana,48.00
62,Banana,55.00
63,Banana,48.00
64,Banana,65.00
65,Banana,65.00
66,Banana,65.00
67,Banana,65.00
68,Banana,58.00
69,Banana,55.00
70,Banana,55.00
71,Banana,65.00
72,Banana,63.00
73,Banana,55.00
74,Banana,58.00
75,Banana,65.00
76,Banana,65.00
77,Banana,65.00
78,Banana,65.00
79,Banana,65.00
80,Banana,65.00
81,Banana,65.00
82,Banana,87.00
83,Banana,85.00
84,Banana,75.00
85,Banana,75.00
86,Banana,75.00
87,Banana,85.00
88,Banana,85.00
89,Banana,95.00
90,Banana,95.00
91,Banana,95.00
92,Banana,95.00
93,Banana,97.00
94,Banana,93.00
95,Banana,95.00
96,Banana,85.00
97,Banana,93.00
98,Banana,85.00
99,Banana,87.00
100,Banana,85.00
101,Banana,87.00
102,Banana,85.00
103,Banana,95.00
104,Banana,85.00
105,Banana,115.00
106,Banana,115.00
107,Banana,125.00
108,Banana,125.00
109,Banana,115.00
110,Banana,115.00
111,Banana,107.00
112,Banana,95.00
113,Banana,95.00
114,Banana,95.00
115,Banana,95.00
116,Banana,85.00
117,Banana,83.00
118,Banana,85.00
119,Banana,80.00
120,Banana,90.00
121,Banana,85.00
122,Banana,90.00
123,Banana,85.00
124,Banana,85.00
125,Banana,85.00
126,Banana,85.00
127,Banana,85.00
128,Banana,85.00
129,Banana,75.00
130,Banana,75.00
131,Banana,75.00
132,Banana,75.00
133,Banana,85.00
134,Banana,85.00
135,Banana,85.00
136,Banana,85.00
137,Banana,85.00
138,Banana,85.00
139,Banana,85.00
140,Banana,85.00
141,Banana,85.00
142,Banana,85.00
143,Banana,85.00
144,Banana,85.00
145,Banana,85.00
146,Banana,85.00
147,Banana,85.00
148,Banana,85.00
149,Banana,85.00
150,Banana,85.00
151,Banana,85.00
152,Banana,85.00
153,Banana,85.00
154,Banana,85.00
155,Banana,85.00
156,Banana,85.00
157,Banana,85.00
158,Banana,83.00
159,Banana,85.00
160,Banana,85.00
161,Banana,85.00
162,Banana,85.00
163,Banana,85.00
164,Banana,77.00
165,Banana,77.00
166,Banana,95.00
167,Banana,85.00
168,Banana,85.00
169,Banana,85.00
170,Banana,65.00
171,Banana,65.00
172,Banana,75.00
173,Banana,75.00
174,Banana,65.00
175,Banana,65.00
176,Banana,75.00
177,Banana,65.00
178,Banana,65.00
179,Banana,65.00
180,Banana,65.00
181,Banana,65.00
182,Banana,65.00
183,Banana,65.00
184,Banana,65.00
185,Banana,65.00
186,Banana,65.00
187,Banana,65.00
188,Banana,65.00
189,Banana,65.00
190,Banana,65.00
191,Banana,65.00
192,Banana,65.00
193,Banana,65.00
194,Banana,65.00
195,Banana,55.00
196,Banana,55.00
197,Banana,48.00
198,Banana,55.00
199,Banana,55.00
200,Banana,53.00
201,Banana,55.00
202,Banana,55.00
203,Banana,55.00
204,Banana,45.00
205,Banana,48.00
206,Banana,48.00
207,Banana,43.00
208,Banana,50.00
209,Banana,53.00
210,Banana,58.00
211,Banana,55.00
212,Banana,58.00
213,Banana,58.00
214,Banana,43.00
215,Banana,45.00
216,Banana,43.00
217,Banana,45.00
218,Banana,45.00
219,Banana,53.00
220,Banana,53.00
221,Banana,55.00
222,Banana,47.00
223,Banana,45.00
224,Banana,53.00
225,Banana,53.00
226,Banana,53.00
227,Banana,55.00
228,Banana,53.00
229,Banana,53.00
230,Banana,53.00
231,Banana,52.00
232,Banana,58.00
233,Banana,53.00
234,Banana,53.00
235,Banana,53.00
236,Banana,53.00
237,Banana,53.00
238,Banana,53.00
239,Banana,53.00
240,Banana,58.00
241,Banana,60.00
242,Banana,58.00
243,Banana,55.00
244,Banana,57.00
245,Banana,63.00
246,Banana,63.00
247,Banana,65.00
248,Banana,63.00
249,Banana,63.00
250,Banana,63.00
251,Banana,63.00
252,Banana,58.00
253,Banana,58.00
254,Banana,58.00
255,Banana,58.00
256,Banana,58.00
257,Banana,60.00
258,Banana,60.00
259,Banana,53.00
260,Banana,58.00
261,Banana,58.00
262,Banana,53.00
263,Banana,53.00
264,Banana,53.00
265,Banana,53.00
266,Banana,63.00
267,Banana,58.00
268,Banana,58.00
269,Banana,53.00
270,Banana,55.00
271,Banana,53.00
272,Banana,63.00
273,Banana,55.00
274,Banana,53.00
275,Banana,53.00
276,Banana,53.00
277,Banana,53.00
278,Banana,58.00
279,Banana,53.00
280,Banana,53.00
281,Banana,53.00
282,Banana,53.00
283,Banana,53.00
284,Banana,58.00
285,Banana,58.00
286,Banana,53.00
287,Banana,53.00
288,Banana,65.00
289,Banana,65.00
290,Banana,58.00
291,Banana,58.00
292,Banana,58.00
293,Banana,58.00
294,Banana,63.00
295,Banana,63.00
296,Banana,58.00
297,Banana,58.00
298,Banana,58.00
299,Banana,58.00
300,Banana,58.00
301,Banana,58.00
302,Banana,58.00
303,Banana,58.00
304,Banana,53.00
305,Banana,58.00
306,Banana,58.00
307,Banana,53.00
308,Banana,58.00
309,Banana,58.00
310,Banana,58.00
311,Banana,58.00
312,Banana,58.00
313,Banana,58.00
314,Banana,48.00
315,Banana,49.00
316,Banana,51.00
317,Banana,51.00
318,Banana,51.00
319,Banana,51.00
320,Banana,53.00
321,Banana,53.00
322,Banana,53.00
323,Banana,58.00
324,Banana,55.00
325,Banana,49.00
326,Banana,49.00
327,Banana,49.00
328,Banana,67.00
329,Banana,65.00
330,Banana,65.00
331,Banana,65.00
332,Banana,67.00
333,Banana,65.00
334,Banana,67.00
335,Banana,55.00
336,Banana,55.00
337,Banana,65.00
338,Banana,55.00
339,Banana,51.00
340,Banana,55.00
341,Banana,53.00
342,Banana,53.00
343,Banana,53.00
344,Banana,53.00
345,Banana,53.00
346,Banana,53.00
347,Banana,53.00
348,Banana,53.00
349,Banana,53.00
350,Banana,53.00
351,Banana,53.00
352,Banana,53.00
353,Banana,53.00
354,Banana,55.00
355,Banana,53.00
356,Banana,57.00
357,Banana,58.00
358,Banana,58.00
359,Banana,73.00
360,Banana,68.00
361,Banana,75.00
362,Banana,73.00
363,Banana,73.00
364,Banana,73.00
365,Banana,77.00
366,Banana,77.00
367,Banana,77.00
368,Banana,75.00
369,Banana,77.00
370,Banana,77.00
371,Banana,77.00
372,Banana,75.00
373,Banana,65.00
374,Banana,65.00
375,Banana,65.00
376,Banana,67.00
377,Banana,65.00
378,Banana,65.00
379,Banana,67.00
380,Banana,67.00
381,Banana,67.00
382,Banana,65.00
383,Banana,65.00
384,Banana,65.00
385,Banana,58.00
386,Banana,58.00
387,Banana,73.00
388,Banana,65.00
389,Banana,63.00
390,Banana,63.00
391,Banana,63.00
392,Banana,63.00
393,Banana,63.00
394,Banana,63.00
395,Banana,77.00
396,Banana,73.00
397,Banana,77.00
398,Banana,63.00
399,Banana,63.00
400,Banana,63.00
401,Banana,63.00
402,Banana,67.00
403,Banana,65.00
404,Banana,75.00
405,Banana,75.00
406,Banana,87.00
407,Banana,73.00
408,Banana,75.00
409,Banana,75.00
410,Banana,75.00
411,Banana,75.00
412,Banana,75.00
413,Banana,75.00
414,Banana,105.00
415,Banana,95.00
416,Banana,75.00
417,Banana,75.00
418,Banana,75.00
419,Banana,97.00
420,Banana,95.00
421,Banana,125.00
422,Banana,107.00
423,Banana,105.00
424,Banana,107.00
425,Banana,97.00
426,Banana,87.00
427,Banana,78.00
428,Banana,85.00
429,Banana,86.00
430,Banana,84.00
431,Banana,85.00
432,Banana,95.00
433,Banana,95.00
434,Banana,107.00
435,Banana,105.00
436,Banana,105.00
437,Banana,95.00
438,Banana,95.00
439,Banana,85.00
440,Banana,85.00
441,Banana,85.00
442,Banana,85.00
443,Banana,85.00
444,Banana,85.00
445,Banana,85.00
446,Banana,85.00
447,Banana,85.00
448,Banana,85.00
449,Banana,87.00
450,Banana,85.00
451,Banana,78.00
452,Banana,78.00
453,Banana,65.00
454,Banana,75.00
455,Banana,75.00
456,Banana,83.00
457,Banana,85.00
458,Banana,85.00
459,Banana,85.00
460,Banana,83.00
461,Banana,95.00
462,Banana,90.00
463,Banana,75.00
464,Banana,75.00
465,Banana,75.00
466,Banana,75.00
467,Banana,85.00
468,Banana,85.00
469,Banana,85.00
470,Banana,75.00
471,Banana,75.00
472,Banana,80.00
473,Banana,75.00
474,Banana,75.00
475,Banana,75.00
476,Banana,75.00
477,Banana,75.00
478,Banana,75.00
479,Banana,75.00
480,Banana,75.00
481,Banana,75.00
482,Banana,75.00
483,Banana,75.00
484,Banana,75.00
485,Banana,75.00
486,Banana,75.00
487,Banana,75.00
488,Banana,75.00
489,Banana,75.00
490,Banana,75.00
491,Banana,75.00
492,Banana,75.00
493,Banana,75.00
494,Banana,75.00
495,Banana,75.00
496,Banana,75.00
497,Banana,85.00
498,Banana,75.00
499,Banana,75.00
500,Banana,75.00
501,Banana,75.00
502,Banana,75.00
503,Banana,75.00
504,Banana,75.00
505,Banana,75.00
506,Banana,75.00
507,Banana,75.00
508,Banana,75.00
509,Banana,75.00
510,Banana,75.00
511,Banana,65.00
512,Banana,65.00
513,Banana,65.00
514,Banana,75.00
515,Banana,75.00
516,Banana,75.00
517,Banana,75.00
518,Banana,65.00
519,Banana,65.00
520,Banana,65.00
521,Banana,65.00
522,Banana,75.00
523,Banana,75.00
524,Banana,75.00
525,Banana,65.00
526,Banana,65.00
527,Banana,65.00
528,Banana,65.00
529,Banana,65.00
530,Banana,65.00
531,Banana,63.00
532,Banana,63.00
533,Banana,65.00
534,Banana,65.00
535,Banana,62.00
536,Banana,63.00
537,Banana,68.00
538,Banana,63.00
539,Banana,65.00
540,Banana,63.00
541,Banana,65.00
542,Banana,63.00
543,Banana,65.00
544,Banana,65.00
545,Banana,65.00
546,Banana,65.00
547,Banana,65.00
548,Banana,65.00
549,Banana,65.00
550,Banana,65.00
551,Banana,65.00
552,Banana,75.00
553,Banana,65.00
554,Banana,73.00
555,Banana,63.00
556,Banana,65.00
557,Banana,65.00
558,Banana,63.00
559,Banana,55.00
560,Banana,55.00
561,Banana,65.00
562,Banana,63.00
563,Banana,63.00
564,Banana,65.00
565,Banana,65.00
566,Banana,63.00
567,Banana,63.00
568,Banana,63.00
569,Banana,65.00
570,Banana,65.00
571,Banana,65.00
572,Banana,63.00
573,Banana,65.00
574,Banana,65.00
575,Banana,75.00
576,Banana,65.00
577,Banana,65.00
578,Banana,65.00
579,Banana,65.00
580,Banana,65.00
581,Banana,65.00
582,Banana,65.00
583,Banana,65.00
584,Banana,55.00
585,Banana,58.00
586,Banana,63.00
587,Banana,55.00
588,Banana,65.00
589,Banana,65.00
590,Banana,65.00
591,Banana,65.00
592,Banana,65.00
593,Banana,75.00
594,Banana,75.00
595,Banana,65.00
596,Banana,65.00
597,Banana,65.00
598,Banana,65.00
599,Banana,65.00
600,Banana,65.00
601,Banana,65.00
602,Banana,65.00
603,Banana,65.00
604,Banana,65.00
605,Banana,75.00
606,Banana,65.00
607,Banana,95.00
608,Banana,95.00
609,Banana,105.00
610,Banana,125.00
611,Banana,115.00
612,Banana,115.00
613,Banana,95.00
614,Banana,65.00
615,Banana,73.00
616,Banana,75.00
617,Banana,75.00
618,Banana,75.00
619,Banana,75.00
620,Banana,75.00
621,Banana,75.00
622,Banana,75.00
623,Banana,75.00
624,Banana,75.00
625,Banana,95.00
626,Banana,85.00
627,Banana,85.00
628,Banana,75.00
629,Banana,75.00
630,Banana,75.00
631,Banana,85.00
632,Banana,75.00
633,Banana,85.00
634,Banana,85.00
635,Banana,75.00
636,Banana,75.00
637,Banana,75.00
638,Banana,75.00
639,Banana,75.00
640,Banana,75.00
641,Banana,80.00
642,Banana,75.00
643,Banana,75.00
644,Banana,75.00
645,Banana,75.00
646,Banana,75.00
647,Banana,75.00
648,Banana,75.00
649,Banana,75.00
650,Banana,75.00
651,Banana,75.00
652,Banana,75.00
653,Banana,75.00
654,Banana,75.00
655,Banana,75.00
