sn,name,price
1,Potato Red,26.00
2,Potato Red,26.00
3,Potato Red,26.00
4,Potato Red,26.00
5,Potato Red,25.00
6,Potato Red,25.00
7,Potato Red,23.00
8,Potato Red,24.00
9,Potato Red,25.00
10,Potato Red,24.00
11,Potato Red,24.00
12,Potato Red,23.00
13,Potato Red,23.00
14,Potato Red,23.00
15,Potato Red,23.00
16,Potato Red,23.00
17,Potato Red,23.00
18,Potato Red,23.00
19,Potato Red,23.00
20,Potato Red,22.00
21,Potato Red,22.00
22,Potato Red,23.00
23,Potato Red,22.00
24,Potato Red,21.00
25,Potato Red,19.00
26,Potato Red,20.00
27,Potato Red,17.00
28,Potato Red,17.00
29,Potato Red,17.00
30,Potato Red,23.00
31,Potato Red,17.00
32,Potato Red,18.00
33,Potato Red,18.00
34,Potato Red,20.00
35,Potato Red,19.00
36,Potato Red,20.00
37,Potato Red,20.00
38,Potato Red,20.00
39,Potato Red,20.00
40,Potato Red,20.00
41,Potato Red,20.00
42,Potato Red,20.00
43,Potato Red,20.00
44,Potato Red,20.00
45,Potato Red,21.00
46,Potato Red,20.00
47,Potato Red,20.00
48,Potato Red,22.00
49,Potato Red,23.00
50,Potato Red,23.00
51,Potato Red,22.00
52,Potato Red,22.00
53,Potato Red,22.00
54,Potato Red,22.00
55,Potato Red,22.00
56,Potato Red,21.00
57,Potato Red,23.00
58,Potato Red,23.00
59,Potato Red,23.00
60,Potato Red,24.00
61,Potato Red,24.00
62,Potato Red,24.00
63,Potato Red,23.00
64,Potato Red,24.00
65,Potato Red,24.00
66,Potato Red,23.00
67,Potato Red,24.00
68,Potato Red,24.00
69,Potato Red,24.00
70,Potato Red,23.00
71,Potato Red,24.00
72,Potato Red,24.00
73,Potato Red,25.00
74,Potato Red,25.00
75,Potato Red,27.00
76,Potato Red,28.00
77,Potato Red,29.00
78,Potato Red,27.00
79,Potato Red,28.00
80,Potato Red,28.00
81,Potato Red,28.00
82,Potato Red,29.00
83,Potato Red,29.00
84,Potato Red,28.00
85,Potato Red,26.00
86,Potato Red,26.00
87,Potato Red,26.00
88,Potato Red,26.00
89,Potato Red,25.00
90,Potato Red,25.00
91,Potato Red,25.00
92,Potato Red,28.00
93,Potato Red,28.00
94,Potato Red,29.00
95,Potato Red,29.00
96,Potato Red,29.00
97,Potato Red,30.00
98,Potato Red,29.00
99,Potato Red,29.00
100,Potato Red,29.00
101,Potato Red,28.00
102,Potato Red,28.00
103,Potato Red,28.00
104,Potato Red,28.00
105,Potato Red,28.00
106,Potato Red,28.00
107,Potato Red,27.00
108,Potato Red,29.00
109,Potato Red,28.00
110,Potato Red,28.00
111,Potato Red,29.00
112,Potato Red,29.00
113,Potato Red,29.00
114,Potato Red,31.00
115,Potato Red,31.00
116,Potato Red,33.00
117,Potato Red,33.00
118,Potato Red,33.00
119,Potato Red,33.00
120,Potato Red,34.00
121,Potato Red,34.00
122,Potato Red,34.00
123,Potato Red,35.00
124,Potato Red,34.00
125,Potato Red,35.00
126,Potato Red,35.00
127,Potato Red,37.00
128,Potato Red,37.00
129,Potato Red,37.00
130,Potato Red,37.00
131,Potato Red,39.00
132,Potato Red,38.00
133,Potato Red,40.00
134,Potato Red,38.00
135,Potato Red,41.00
136,Potato Red,39.00
137,Potato Red,41.00
138,Potato Red,41.00
139,Potato Red,41.00
140,Potato Red,41.00
141,Potato Red,41.00
142,Potato Red,41.00
143,Potato Red,41.00
144,Potato Red,41.00
145,Potato Red,46.00
146,Potato Red,38.00
147,Potato Red,36.00
148,Potato Red,37.00
149,Potato Red,36.00
150,Potato Red,36.00
151,Potato Red,37.00
152,Potato Red,44.00
153,Potato Red,37.00
154,Potato Red,37.00
155,Potato Red,37.00
156,Potato Red,36.00
157,Potato Red,37.00
158,Potato Red,41.00
159,Potato Red,41.00
160,Potato Red,41.00
161,Potato Red,41.00
162,Potato Red,41.00
163,Potato Red,41.00
164,Potato Red,41.00
165,Potato Red,41.00
166,Potato Red,41.00
167,Potato Red,41.00
168,Potato Red,41.00
169,Potato Red,41.00
